EventType,EventDate,City,State,Country,HasSafetyRec,ReportType,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AmateurBuilt,NumberOfEngines,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,ReportStatus,X,Year,Month,Day,Hour,CauseCategory
ACC,2024-12-18T17:00:00Z,St. Mary's,Alaska,United States,FALSE,DirectorBrief,None,0,0,0,62.097638,-162.6006,LOCKHEED,382G-44K-30,AIR,NA,FALSE,4,NA,121,Substantial,VMC,LYNDEN AIR CARGO LLC,In work,NA,2024,December,18,0,Other
ACC,2024-12-17T16:15:00Z,Honolulu,Hawaii,United States,FALSE,DirectorBrief,Fatal,2,0,0,21.329519,-157.91751,CESSNA,208B,AIR,HNL,FALSE,1,INST,91,Destroyed,VMC,"Kamaka Air, LLC",In work,NA,2024,December,17,0,Other
ACC,2024-12-16T11:30:00Z,Potrero,California,United States,FALSE,DirectorBrief,Fatal,1,0,0,32.65218,-116.6242,AMERICAN EUROCOPTER LLC,AS350B3,HELI,NA,FALSE,1,PUBF,PUBU,Substantial,VMC,Department of Homeland Security,In work,NA,2024,December,16,0,Other
ACC,2024-12-16T10:54:00Z,Pendleton,Oregon,United States,FALSE,DirectorBrief,NA,0,0,0,45.695096,-118.84336,AMAZON.COM SERVICES LLC,MK30,HELI,PDT,FALSE,6,FLTS,91,Substantial,NA,AMAZON.COM SERVICES LLC,In work,NA,2024,December,16,0,Other
ACC,2024-12-16T10:54:00Z,Pendleton,Oregon,United States,FALSE,DirectorBrief,NA,0,0,0,45.695096,-118.84336,AMAZON.COM SERVICES LLC,MK30,HELI,PDT,FALSE,6,FLTS,91,Substantial,NA,AMAZON.COM SERVICES LLC,In work,NA,2024,December,16,0,Other
ACC,2024-12-15T12:35:00Z,Ozark,Missouri,United States,FALSE,DirectorBrief,Minor,0,0,1,36.96379,-93.170164,CAPELLA AIRCRAFT CORP,FW1C50,AIR,18MO,FALSE,1,PERS,91,Substantial,NA,NA,In work,NA,2024,December,15,0,Other
ACC,2024-12-14T15:25:00Z,Englishtown,New Jersey,United States,FALSE,DirectorBrief,None,0,0,0,40.326551,-74.351667,"CESSNA, PIPER","172M, PA-28-181","AIR,AIR",3N6,"FALSE,FALSE","1,1","INST,INST","91,091","Substantial,Minor",VMC,"PILOTS FLYING SCHOOL LLC,PILOTS FLYING SCHOOL LLC",In work,NA,2024,December,14,0,Other
ACC,2024-12-13T13:20:00Z,Gig Harbor,Washington,United States,FALSE,DirectorBrief,None,0,0,0,47.267944,-122.57811,CESSNA,172M,AIR,TIW,FALSE,1,INST,91,Substantial,VMC,PICKETT MICHAEL R,In work,NA,2024,December,13,0,Other
ACC,2024-12-12T19:46:00Z,Greenwich,Connecticut,United States,FALSE,DirectorBrief,Fatal,1,1,0,41.089082,-73.717857,Costruzioni Aeronautiche Tecnam,P2008,AIR,HPN,FALSE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,December,12,0,Other
ACC,2024-12-12T14:15:00Z,Reedley,California,United States,FALSE,DirectorBrief,Minor,0,0,1,36.671,-119.451,ZALL JIHLAVAN AIRPLANES S R O,JA-600 SKYLEADER,AIR,O32,FALSE,1,INST,91,Substantial,VMC,NA,In work,NA,2024,December,12,0,Other
ACC,2024-12-12T12:35:00Z,Tullahoma,Tennessee,United States,FALSE,DirectorBrief,None,0,0,0,35.38017,-86.239462,WOLSTENHOLME DENNIS,PIETENPOL AIR CAMPER,AIR,THA,TRUE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,December,12,0,Other
ACC,2024-12-11T21:00:00Z,Jefferson,Georgia,United States,FALSE,DirectorBrief,None,0,0,0,0,0,CESSNA,172,NA,NA,FALSE,NA,INST,91,NA,NA,YELLOW JACKET FLYING CLUB INC,In work,NA,2024,December,11,0,Other
ACC,2024-12-11T19:05:00Z,Crystal,Minnesota,United States,FALSE,DirectorBrief,NA,0,0,0,45.062469,-93.353965,PIPER,PA-28R-200,AIR,MIC,FALSE,1,PERS,91,Substantial,NA,NA,In work,NA,2024,December,11,0,Other
ACC,2024-12-11T16:00:00Z,Victoria,Texas,United States,FALSE,DirectorBrief,Serious,0,1,4,28.853376,-96.970445,PIPER,PA-31-350,AIR,VCT,FALSE,2,AOBV,91,Substantial,VMC,NA,Completed,NA,2024,December,11,0,Pilot Error
ACC,2024-12-11T15:12:00Z,Pearland,Texas,United States,FALSE,DirectorBrief,None,0,0,0,29.518953,-95.240343,"CESSNA, GRUMMAN AMERICAN AVN. CORP.","182T, AA-5","AIR,AIR",LVJ,"FALSE,FALSE","1,1","AOBV,PERS","91,091","Substantial,Substantial",VMC,"GULF COAST HELICOPTERS INC,",In work,NA,2024,December,11,0,Other
ACC,2024-12-11T03:30:00Z,Atlanta,Georgia,United States,FALSE,DirectorBrief,None,0,0,0,33.651196,-84.422137,CESSNA,560,AIR,ATL,FALSE,2,POSI,91,Substantial,IMC,"Aitheras Aviation group, LLC",In work,NA,2024,December,11,0,Other
ACC,2024-12-10T13:10:00Z,Los Alamitos,California,United States,FALSE,DirectorBrief,None,0,0,0,33.79003,-118.05142,EUROCOPTER,AS 350 B2,HELI,SLI,FALSE,1,PUBS,PUBU,Substantial,NA,LAPD AIR SUPPORT DIVISION,In work,NA,2024,December,10,0,Other
ACC,2024-12-10T12:30:00Z,Smithville,Texas,United States,FALSE,DirectorBrief,Serious,0,1,0,30.028208,-97.167039,VANS,RV8,AIR,84R,TRUE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,December,10,0,Other
ACC,2024-12-09T17:30:00Z,Pahokee,Florida,United States,FALSE,DirectorBrief,None,0,0,0,26.795833,-80.6945,"PIPER, CESSNA","PA28, 172","AIR,AIR",PHK,"FALSE,FALSE","1,1","INST,INST","91,091","Substantial,Substantial",VMC,"SkyBlue Aviation,FXE FLIGHTCENTER CORP",In work,NA,2024,December,9,0,Other
ACC,2024-12-09T14:32:00Z,Foley,Alabama,United States,FALSE,DirectorBrief,Fatal,1,0,0,30.427667,-87.700972,MAGNI BUILDER LLC,M-16,GYRO,5R4,TRUE,1,PERS,91,Substantial,VMC,SOUTHERN GYRO LLC,In work,NA,2024,December,9,0,Other
ACC,2024-12-09T14:08:00Z,Glendale,Arizona,United States,FALSE,DirectorBrief,None,0,0,0,33.526917,-112.29513,BELLANCA,7GCBC,AIR,GEU,FALSE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,December,9,0,Other
ACC,2024-12-08T15:00:00Z,El Cajon,California,United States,FALSE,DirectorBrief,None,0,0,0,32.826222,-116.97244,BOEING,A75N1(PT17),AIR,SEE,FALSE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,December,8,0,Other
ACC,2024-12-08T13:07:00Z,Columbia,Illinois,United States,FALSE,DirectorBrief,Serious,0,1,0,38.460748,-90.234427,ZENITH,Zodiac CH601,AIR,NA,TRUE,1,PERS,91,Destroyed,VMC,NA,In work,NA,2024,December,8,0,Other
ACC,2024-12-07T17:27:00Z,Valdosta,Georgia,United States,FALSE,DirectorBrief,Serious,0,1,0,30.768563,-83.271157,WILLIAM M CLAPP,CLAPP-SABERWING,AIR,VLD,TRUE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,December,7,0,Other
ACC,2024-12-06T21:06:00Z,Homosassa,Florida,United States,FALSE,DirectorBrief,Fatal,1,0,0,28.824421,-82.579637,VANS AIRCRAFT INC,RV-12IS,AIR,NA,FALSE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,December,6,0,Other
ACC,2024-12-06T14:35:00Z,Meridian,Mississippi,United States,FALSE,DirectorBrief,Serious,0,1,1,32.301222,-88.755333,CESSNA,150L,AIR,MEI,FALSE,1,INST,91,Substantial,VMC,NA,In work,NA,2024,December,6,0,Other
ACC,2024-12-06T13:40:00Z,Vero Beach,Florida,United States,FALSE,DirectorBrief,Fatal,1,0,0,27.639386,-80.534611,SCHLEICHER,ASW24,GLI,X52,FALSE,0,PERS,91,Substantial,VMC,Treasure Coast Soaring Club,In work,NA,2024,December,6,0,Other
ACC,2024-12-05T14:03:00Z,Palmdale,California,United States,FALSE,DirectorBrief,None,0,0,0,34.625507,-117.96261,VANS,RV14,AIR,NA,TRUE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,December,5,0,Other
ACC,2024-12-05T11:00:00Z,Marysvale,Utah,United States,FALSE,DirectorBrief,Minor,0,0,2,38.489643,-112.07132,PIPER,PA-12,AIR,RIF,FALSE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,December,5,0,Other
ACC,2024-12-04T15:51:00Z,Fort Blackmore,Virginia,United States,FALSE,DirectorBrief,Fatal,1,0,0,36.776773,-82.583361,TRUITT JAMES B,VANS RV-8A,AIR,LNP,TRUE,1,BUS,91,Substantial,VMC,NA,In work,NA,2024,December,4,0,Other
ACC,2024-12-04T15:20:00Z,Glen Avon,Oregon,United States,FALSE,DirectorBrief,None,0,0,0,45.036,-122.45066,CESSNA,150L,AIR,NA,FALSE,1,PERS,91,Substantial,VMC,BEND AIRCRAFT MECHANICS LLC,In work,NA,2024,December,4,0,Other
INC,2024-12-04T08:15:00Z,Los Angeles,California,United States,FALSE,None,NA,0,0,0,0,0,AIRBUS,A330,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,N/A,NA,2024,December,4,0,Other
ACC,2024-12-02T16:30:00Z,Spokane,Washington,United States,FALSE,DirectorBrief,None,0,0,0,47.682941,-117.32242,GULFSTREAM AM CORP COMM DIV,690D,AIR,SFF,FALSE,2,PERS,91,Substantial,IMC,NA,In work,NA,2024,December,2,0,Other
ACC,2024-12-01T19:21:00Z,Boscobel,Wisconsin,United States,FALSE,DirectorBrief,None,0,0,0,43.15947,-90.678168,PIPER,PA-28R-200,AIR,OVS,FALSE,1,INST,91,Substantial,VMC,NA,In work,NA,2024,December,1,0,Other
ACC,2024-12-01T15:38:00Z,Brenham,Texas,United States,FALSE,DirectorBrief,None,0,0,0,30.235094,-96.374447,AMERICAN AVIATION,AA-1B,AIR,11R,FALSE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,December,1,0,Other
ACC,2024-12-01T14:00:00Z,Willcox,Arizona,United States,FALSE,DirectorBrief,None,0,0,0,32.269163,-109.86051,BEECH,35-33,AIR,P33,FALSE,1,PERS,91,Unknown,VMC,KEELING RODNEY E,In work,NA,2024,December,1,0,Other
ACC,2024-11-30T15:58:00Z,Pearland,Texas,United States,FALSE,DirectorBrief,None,0,0,0,29.521278,-95.242139,CESSNA,140,AIR,LVJ,FALSE,1,INST,91,Substantial,VMC,Welch Aviation Services LLC,Completed,NA,2024,November,30,0,Pilot Error
ACC,2024-11-30T14:48:00Z,Fallon,Nevada,United States,FALSE,DirectorBrief,Minor,0,0,4,39.2878,-118.0283,CESSNA,175,AIR,N/A,FALSE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,November,30,0,Other
ACC,2024-11-29T14:05:00Z,Egegik,Alaska,United States,FALSE,DirectorBrief,None,0,0,0,57.9925,-156.86866,CESSNA,180,AIR,NA,FALSE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,November,29,0,Other
ACC,2024-11-28T11:19:00Z,Franklin,North Carolina,United States,FALSE,DirectorBrief,None,0,0,0,35.223074,-83.415684,BEECH,B300,AIR,1A5,FALSE,2,PERS,91,Substantial,VMC,BARREL KING LLC,In work,NA,2024,November,28,0,Other
